法宝引证码,文件具体政策内容,制定单位/机关,行政级别,颁布时间,字数,一般政策语言字数,一般政策内容字段,Extraction,文件接收对象(下级单位),文件接收对象(下级单位)的行政级别,提及文件接收对象(下级单位)的次数,是否转发/提及上级文件,是否补充通知,是否征求意见稿,是否设置特定目标,特定目标字段,是否为政策执行设置特定期限,特定期限字段,对政策执行过程有规定,执行过程规定字数,是否为政策执行设置任务检测的评估标准,评估标准详细度,评估标准字段,政策实施/支持明确局限于下辖地区,是否使用强制性语言,强制性语言使用次数,建议权宜处理,建议权宜处理字段,提醒可以向上级反映,是否有附件,"原始文件的文本内容 (entire original document text, only for references, not included in the finalized dataset)",,,,,,
CLI.12.1541468,环卫行业信用管理暂行办法,广东省住房和城乡建设厅,省级,2019年10月11日,3008,45,"为了规范广东省环卫行业秩序，建立生活垃圾处理运营单位信用体系，促进环卫行业健康、有序发展,",为了规范广东省环卫行业秩序，建立生活垃圾处理运营单位信用体系，促进环卫行业健康、有序发展，根据《企业信息公示暂行条例》《广东省城乡生活垃圾处理条例》等相关法律法规，结合广东省环卫行业实际，制定本办法。,各地级以上市环境卫生主管部门,地级市,13,提及,否,否,是,"第二条　（适用范围）

　　在广东省行政区域内从事生活垃圾清扫、分类、收集、运输、处置等环卫服务活动的企业纳入信用管理范围。
　

　　各地级以上市环境卫生主管部门根据管理权限对辖区内环卫企业的行为及信用信息实施管理，负责信用信息监管工作。",是,本办法自2019年10月10日起施行，有效期为3年。,是,1780,是,由上级负责解释,本办法由广东省住房和城乡建设厅负责解释。,广东省,是,2,是,“根据《企业信息公示暂行条例》《广东省城乡生活垃圾处理条例》等相关法律法规，结合广东省环卫行业实际，制定本办法。”,是,否,"    【法宝引证码】 CLI.12.1541468
原文链接：https://www.pkulaw.com/lar/32f09a1c6c282205e761c51231946224bdfb.html
广东省住房和城乡建设厅关于印发环卫行业信用管理暂行办法的通知
广东省住房和城乡建设厅关于印发环卫行业信用管理暂行办法的通知

（粤建规范〔2019〕4号）

各地级以上市环境卫生主管部门：

　　现将《广东省住房和城乡建设厅关于环卫行业信用管理暂行办法》印发给你们，请认真组织实施。实施过程中遇到的问题，请径向省住房城乡建设厅反映。
广东省住房和城乡建设厅

2019年10月11日
　　广东省住房和城乡建设厅关于环卫行业信用管理暂行办法
　第一章　总　则
　　第一条　（目的依据）

　　为了规范广东省环卫行业秩序，建立生活垃圾处理运营单位信用体系，促进环卫行业健康、有序发展，根据《企业信息公示暂行条例》《广东省城乡生活垃圾处理条例》等相关法律法规，结合广东省环卫行业实际，制定本办法。
　　第二条　（适用范围）

　　在广东省行政区域内从事生活垃圾清扫、分类、收集、运输、处置等环卫服务活动的企业纳入信用管理范围。
　　第三条　（管理内容）

　　广东省环卫行业信用管理包括企业信用信息、项目信用综合考评、企业重点监管名单三项内容。
　　第四条　（管理原则）

　　环卫信用信息登记遵循公开、公平、公正的原则，以信用体系建设为主导，以政府监督管理为手段，以信用信息登记为载体，实行环卫信用管理制度，强化主体自律和社会监督，激发市场活力。
　　第五条　（管理部门和管理系统）

　　省住房城乡建设主管部门负责指导全省生活垃圾处理运营单位信用体系建设工作，建立和完善广东省环卫行业信用管理平台（以下简称“信用管理平台”）。

　　各地级以上市环境卫生主管部门根据管理权限对辖区内环卫企业的行为及信用信息实施管理，负责信用信息监管工作。

　第二章　信用信息管理
　　第六条　（信用信息采集、审核、录入、变更及注销）

　　各地级以上市环境卫生主管部门负责企业信用信息的采集、审核和录入，并及时对信用管理平台的信用信息进行变更和注销。
　　第七条　（信用信息明细）

　　信用信息包括企业名称、统一社会信用代码、法定代表人、委托单位、项目名称、项目负责人、项目地点、项目总额、服务期限、《广东省城市生活垃圾经营性清扫、收集、运输服务许可证》或《广东省城市生活垃圾经营性处置服务许可证》证书编号、证书有效期、联系电话等。
　　第八条　（责任落实）

　　各地级以上市环境卫生主管部门对其录入信用管理平台的信息真实性、客观性、完整性负责。
　　第九条　（信息公布）

　　各地级以上市环境卫生主管部门按照公开、公平、公正的原则，及时将企业信用信息和项目信用综合考评结果在信用管理平台公布，供各地级以上市环境卫生主管部门查询使用。

　第三章　项目信用综合考评
　　第十条　（考评单位）

　　纳入信用管理范围的企业，由各地级以上市环境卫生主管部门统一进行年度项目信用综合考评。
　　第十一条　（考评内容）

　　项目信用综合考评以企业履约能力、服务质量、遵纪守法三项指标作为考评内容。
　　第十二条　（考评等级）

　　项目信用综合考评等级分为优、良、差三个等级。
　　第十三条　（考评时间）

　　各地级以上市环境卫生主管部门在每年的1月完成上一年度的项目信用综合考评。

　第四章　监督管理
　　第十四条　（分级分类监管）

　　各地级以上市环境卫生主管部门根据企业的年度项目信用综合考评等级，实施分级分类监管，建立企业重点监管名单制度。

　　（一）全部项目信用综合考评等级为优的企业，纳入监管对象，实行动态监督管理，优先推荐参加政府招投标项目、评优评先活动；

　　（二）全部项目信用综合考评等级为良的企业，纳入监管的主要对象，实行常态化监督管理；

　　（三）项目信用综合考评为差的企业，列入重点监管名单，纳入重点监管对象，实行严格的日常监督检查；
　　第十五条　（重点监管名单认定）

　　企业在当年度有下列情况之一的，列入企业重点监管名单，期限为一年，主要包括：

　　（一）上一年度项目信用综合考评为差的；

　　（二）在环卫招标投标活动中存在违法行为且受到行政处罚的；

　　（三）发生较大及以上生产安全责任事故，或1年内累计发生2次及以上一般生产安全责任事故的； 

　　（四）违法运输、倾倒或处置生活垃圾，受到行政处罚的；

　　（五）拖欠工人工资拒不整改的。
　　第十六条　（认定录入）

　　各地级以上市环境卫生主管部门认定企业重点监管名单后，应在5个工作日内书面通知企业，并在10个工作日内登陆信用管理平台录入相关信息。
　　第十七条　（重点监管名单的移出）

　　列入重点监管名单的企业，自录入信用管理平台之日起一年内未再发生本办法第十五条规定的情形的，由项目所在地地级以上市环境卫生主管部门核准后移出企业重点监管名单。
　　第十八条　（异议处理）

　　企业对被列入重点监管名单有异议的，应当在收到书面通知之日起5个工作日内，向作出认定的部门提出书面复核申请。
　　第十九条　（复核处理）

　　各地级以上市环境卫生主管部门在收到企业提出的书面复核申请后5个工作日内进行复核并书面答复。

　第五章　附则
　　第二十条　（解释单位）

　　本办法由广东省住房和城乡建设厅负责解释。
　　第二十一条　（试行日期）

　　本办法自2019年10月10日起施行，有效期为3年。

　　广东省环卫信用信息登记表
企业名称
统一社会
信用代码
法定代表人
项目名称
委托单位
项目地点
项目总额
服务期限
许可证编号
许可证有效期
项目负责人
联系电话
项目委托单位意见
项目委托单位（盖章）：
年   月   日
地级以上市环境卫生主管
部门意见
地级以上市环境卫生主管部门（盖章）：
年   月   日

　　注：各地级以上市环境卫生主管部门负责采集、审核企业信用信息，并录入信用管理平台。

　　广东省环卫项目信用综合考评表
企业名称
项目名称
统一社会
信用代码
项目负责人
考评年度
联系电话
履约能力
是否存在违约行为        是□  否□
是否按期履行合同        是□  否□
综合履约能力            优□  良□  差□
服务质量
是否建立规章制度        是□  否□
是否发生安全生产事故    是□  否□
业主满意度              优□  良□  差□
遵纪守法
是否按规定为员工购买社保              是□  否□
是否按规定支付工人工资                是□  否□
是否受到各级环境卫生主管部门行政处罚  是□  否□
项目委托单位意见
项目委托单位（盖章）：
年   月   日
地级以上市环境卫生主管
部门意见
地级以上市环境卫生主管部门（盖章）：
年   月   日

　　注：（1）综合履约能力、业主满意度为“优”，且遵纪守法的企业考评等级为“优”。

　　（2）综合履约能力、业主满意度为“良”及以上但未达到全“优”，且遵纪守法的企业考评等级为“良”。

　　（3）综合履约能力、业主满意度为“差”，或发生违法违规行为的企业考评等级为“差”。

　　（4）发生违法违规行为的企业考评等级为“差”。

　　广东省环卫企业重点监管名单确认表
企业名称
项目名称
统一社会
信用代码
法定代表人
项目负责人
联系电话
1
上一年度项目信用综合考评为差的。
有□  无□
2
在环卫招标投标活动中存在违法行为且受到行政处罚的。
有□  无□
3
发生较大及以上生产安全责任事故，或1年内累计发生2次及以上一般生产安全责任事故的。
有□  无□
4
违法运输、倾倒或处置生活垃圾，受到行政处罚的。
有□  无□
5
拖欠工人工资拒不整改的。
有□  无□
项目委托单位意见
项目委托单位（盖章）：
年   月   日
地级以上市环境卫生主管
部门意见
地级以上市环境卫生主管部门（盖章）：
年   月   日

　　注：企业发生上述情况中的任意一项，经各地级以上市环境卫生主管部门确认即列入企业重点监管名单，期限为一年。

　　《广东省城市生活垃圾经营性清扫、收集、运输服务许可证》统计情况表
序号
法人名称
办公住所
设施地址
核准经营范围
核准经营车辆 
法定代表人
联系人
联系电话
许可证有效期
证书编号
申请日期
备注

　　《广东省城市生活垃圾经营性处置服务许可证》统计情况表
序号
法人名称
办公住所
设施地址
核准经营范围
核准经营规模（吨/年）
法定代表人
联系人
联系电话
许可证有效期
证书编号
申请日期
备注

　　餐厨垃圾收运企业情况表
地市
序号
企业名称
企业负责人
联系电话
业务范围
许可证
餐厨垃圾种类（餐饮垃圾、居民厨余垃圾、农贸市场有机易腐垃圾）
收集频次
收运方式
收运车辆数量与类型
收运
范围
收运
线路
备注
（次/天）
（直收直运/中转转运）",,,,,,
CLI.12.1541478,生猪养殖用地保障工作,广东省自然资源厅、广东省农业农村厅、广东省林业局,省级,2019年9月19日,1545,43,为贯彻落实国家和省的稳定生猪生产保障市场供应电视电话会议精神，进一步保障生猪养殖用地，,为贯彻落实国家和省的稳定生猪生产保障市场供应电视电话会议精神，进一步保障生猪养殖用地，根据《自然资源部关于保障生猪养殖用地有关问题的通知》（自然资电发〔2019〕39号），现就有关事项通知如下,各地级以上市自然资源、农业农村、林业主管部门,地级市,6,提及,否,否,是,明确生猪养殖用地性质。界定生猪养殖用地范围。优化生猪养殖用地选址。合理保障生猪养殖用地需求。,否,,是,693,否,无,,广东省,是,9,是,“生猪养殖可因地制宜合理布局，”,否,否,"    【法宝引证码】 CLI.12.1541478
原文链接：https://www.pkulaw.com/lar/605378354c8201907b9469ab92c460d6bdfb.html
广东省自然资源厅、广东省农业农村厅、广东省林业局关于进一步做好生猪养殖用地保障工作的通知
广东省自然资源厅、广东省农业农村厅、广东省林业局关于进一步做好生猪养殖用地保障工作的通知

（粤自然资函〔2019〕1986号）

各地级以上市自然资源、农业农村、林业主管部门：

　　为贯彻落实国家和省的稳定生猪生产保障市场供应电视电话会议精神，进一步保障生猪养殖用地，根据《自然资源部关于保障生猪养殖用地有关问题的通知》（自然资电发〔2019〕39号），现就有关事项通知如下：
　　一、严格落实和完善用地政策

　　（一）明确生猪养殖用地性质。生猪养殖用地为设施农用地，按农用地管理，不需要办理建设用地审批手续，不需要占补平衡。

　　（二）界定生猪养殖用地范围。规模化生猪养殖圈舍（含场区内通道）、有机物处置等生产设施及绿化隔离带用地为生产设施用地；生猪养殖中必需配套的检验检疫监测、疫病防控等技术设施以及必要管理用房用地，粪便、污水等废弃物收集、存储、处理等环保设施用地，符合“农村道路”规定的场内道路用地等为附属设施用地。

　　（三）优化生猪养殖用地选址。在不涉及占用永久基本农田和饮用水水源保护区、自然保护地、城镇居民区、文化教育科学研究区等人口集中区域及法律法规规定的其他禁养区前提下，生猪养殖可因地制宜合理布局，允许占用一般耕地，但尽量避免占用优质耕地，特别是高标准农田。鼓励乡镇政府、农村集体和养殖场（户）充分利用农村集体建设用地和“四荒地”（荒山、荒沟、荒丘、荒滩）等低效闲置土地发展生猪养殖生产。

　　（四）合理保障生猪养殖用地需求。生猪养殖生产设施用地根据养殖规模确定用地规模。合理增加附属设施用地规模，取消现行15亩上限规定。允许建设多层生产设施和附属设施。规模化、工厂化生猪养殖项目用地，涉及新增建设用地的，要优先安排新增建设用地计划指标，应保尽保。允许在Ⅱ、Ⅲ、Ⅳ级保护林地内建设规模养殖场，优先保障使用林地指标，申请使用林地材料齐全的“即到即办”。
　　二、简化生猪养殖用地办理程序

　　（一）简化用地手续办理。养殖场（户）与乡镇政府、农村集体经济组织签订用地协议即可获得生产用地。

　　（二）简化用地备案程序。按照《广东省自然资源厅 广东省农业农村厅关于印发贯彻落实省委省政府工作部署实施乡村振兴战略若干用地政策措施（试行）的通知》（粤自然资规〔2019〕1号）规定，以《广东省设施农用地建设方案报告表》代替建设方案和复垦方案；乡镇政府应在签订协议7个工作日内将用地协议和《广东省设施农用地建设方案报告表》报送县级自然资源、农业农村主管部门备案，县级自然资源、农业农村主管部门收到备案材料15个工作日内没有及时核实或核实未告知的，养殖场（户）可视为备案通过。

　　（三）明确备案调整程序。因养殖规模扩大、异地搬迁重建、土地承包经营权流转等原因造成用地位置、面积和权属等信息发生变化的，县级自然资源主管部门应联合农业农村主管部门依据养殖场（户）与乡镇政府、农村集体经济组织签订的用地协议逐级向省报备调整设施农用地备案信息。
　　三、加强政策宣传和监管

　　（一）推进政策进村入户。各地要主动公开设施农用地管理政策，充分利用广播电视、网络新媒体特别是农村村务公开栏等媒介加强生猪养殖用地政策宣传。要结合学习调研、结对扶贫、支部共建等时机深入基层一线，加强政策解读，让生猪养殖用地政策进村入户、应知尽知。

　　（二）严格生猪养殖用地监管。各地要严格执行法律规定和政策要求，严禁占用永久基本农田，严禁随意扩大生猪养殖生产设施和附属设施用地范围，严禁改变养殖用途。各级自然资源主管部门要不断强化土地卫片执法，实行常态化的动态巡查，充分利用“12336”违法举报电话，全面监督指导养殖场（户）严格按照协议约定使用土地，确保农地农用。
广东省自然资源厅

广东省农业农村厅

广东省林业局

2019年9月19日",,,,,,
CLI.12.1541872,加快企业上市工作的实施意见,广州市地方金融监督管理局,地市级,2019年10月12日,2141,194,当前，我国正在推进科创板等资本市场制度创新，资本市场的韧性在增强，抗风险能力在提高，市场生态更加有效，正处于繁荣发展的难得机遇期和健全体系的关键发展期。为贯彻落实党的十九大、全国金融工作会议精神以及党中央、国务院关于资本市场改革发展的工作部署，加快推进我市企业上市工作，大力发展多层次资本市场体系，提高直接融资比重，助力广州经济社会高质高端高效发展和粤港澳大湾区建设，现提出以下实施意见。,为贯彻落实党的十九大、全国金融工作会议精神以及党中央、国务院关于资本市场改革发展的工作部署，加快推进我市企业上市工作，大力发展多层次资本市场体系，提高直接融资比重，助力广州经济社会高质高端高效发展和粤港澳大湾区建设，现提出以下实施意见。,各区人民政府，市委编办、市发展改革委、科技局、工业和信息化局、公安局、司法局、财政局、人力资源社会保障局、规划和自然资源局、生态环境局、住房城乡建设局、交通运输局、商务局、国资委、市场监管局、城市管理综合执法局、广州住房公积金管理中心，广州海关、人民银行广州分行、广东证监局、国家税务总局广州市税务局,区级,3,否,否,否,是,争取用3年时间，推动我市新增境内外上市公司30家。其中，新增上海证券交易所科创板、深圳证券交易所创业板上市公司20家。各区人民政府要结合全市目标和本区实际，制定本区未来3年的企业上市目标。,是,争取用3年时间，,是,1434,否,无,,广东市各区,是,4,是,“各区人民政府要结合全市目标和本区实际，制定本区未来3年的企业上市目标。”        “各区人民政府根据本区实际，制定扶持政策，积极协调支持。”,是,否,"    【法宝引证码】 CLI.12.1541872
原文链接：https://www.pkulaw.com/lar/0d9d20a31d9dcd8265ee09c45fa5924cbdfb.html
广州市地方金融监督管理局关于印发《关于加快推进企业上市工作的实施意见》的通知

广州市地方金融监督管理局关于印发《关于加快推进企业上市工作的实施意见》的通知

（穗金融〔2019〕28号）

各区人民政府，市委编办、市发展改革委、科技局、工业和信息化局、公安局、司法局、财政局、人力资源社会保障局、规划和自然资源局、生态环境局、住房城乡建设局、交通运输局、商务局、国资委、市场监管局、城市管理综合执法局、广州住房公积金管理中心，广州海关、人民银行广州分行、广东证监局、国家税务总局广州市税务局：

　　《关于加快推进企业上市工作的实施意见》已经市政府同意，现印发给你们，请认真贯彻执行。执行中遇到的问题，请径向我局反映。
广州市地方金融监督管理局

2019年10月12日
　　关于加快推进企业上市工作的实施意见

　　当前，我国正在推进科创板等资本市场制度创新，资本市场的韧性在增强，抗风险能力在提高，市场生态更加有效，正处于繁荣发展的难得机遇期和健全体系的关键发展期。为贯彻落实党的十九大、全国金融工作会议精神以及党中央、国务院关于资本市场改革发展的工作部署，加快推进我市企业上市工作，大力发展多层次资本市场体系，提高直接融资比重，助力广州经济社会高质高端高效发展和粤港澳大湾区建设，现提出以下实施意见。
　　一、明确企业上市的工作目标和重点

　　（一）工作目标。

　　争取用3年时间，推动我市新增境内外上市公司30家。其中，新增上海证券交易所科创板、深圳证券交易所创业板上市公司20家。各区人民政府要结合全市目标和本区实际，制定本区未来3年的企业上市目标。

　　（二）工作重点。

　　一是推进符合国家战略、突破关键核心技术、市场认可度高的高新技术企业和新一代信息技术、人工智能、生物医药等IAB、NEM战略性新兴产业的企业上市。二是推进国有企业改制上市，积极支持资产优良、竞争力强的国有企业实现整体上市。三是推动支柱产业、先进制造业和现代服务业等领域的优质企业尤其是民营企业上市。
　　二、认真落实推进企业上市的各项工作措施

　　（一）加强组织保障。

　　各部门应明确管理范畴及业务职责，各司其职、分工协作、形成合力。充分发挥市企业上市发展工作协调小组和市企业上市工作办公室的统筹作用，建立健全市、区政府及相关部门的沟通协调机制，及时向省级人民政府、金融监管部门汇报解决我市企业上市的重点难点问题。

　　主管产业发展的发展改革、工信、科技、商务、国资等部门负责对具有发展潜力的企业开展产业培育，通过扶持引导强化其内生增长动能。市地方金融监管局对我市企业改制及上市申报等工作进行统筹谋划，形成摸查储备、培训辅导、路演对接、协调问题、奖励补贴等全过程全链条的服务体系。对企业改制上市过程中遇到的困难和涉及的相关证明手续，特别是完善用地房产手续、税收缴纳、产权厘清、人员安置等历史遗留问题，以及拟上市企业募投项目备案、核准等，市发展改革委、科技、工信、公安、司法、财政、人社、规划和自然资源、生态环境、住房城乡建设、交通运输、商务、国资、市场监管、城管、住房公积金管理等部门要根据实际情况，认真做好指导和服务，同时争取海关、外汇、税务等部门支持，依法合规加快办理。各区人民政府根据本区实际，制定扶持政策，积极协调支持。

　　（二）完善企业上市后备资源。

　　各区、各产业部门对规模以上企业和市场前景好、持续经营能力强的企业进行摸底、调度和筛选，在调查摸底的基础上，根据我市的产业发展方向和区域发展重点，分类、分层建立企业上市梯队和拟上市企业库，尽早发现、及时跟进，构建符合上市规律的培育机制。

　　对已正式启动上市申报的企业，帮助企业做好与证券公司、会计师事务所、律师事务所等中介机构的衔接，督促中介机构依法合规进行上市辅导，并及时向金融监管部门汇报沟通，争取各方面支持；对基本达到上市条件的企业，协助企业科学规划上市方向，明确上市程序和重点事项；对实力需要进一步增强、条件还不够成熟的企业，尽早做好资产规范和内控制度健全等工作，妥善解决企业改制上市过程中的困难和问题，争取尽快达到进入资本市场的条件。

　　（三）拓宽金融对接渠道。

　　引导社会资本向科技型、中早期项目投入，将发展股权投资作为培育与推动企业上市的重要市场力量；畅通拟上市企业和银行业金融机构的融资对接渠道，拓宽各类融资渠道。

　　积极推动市、区两级政府投资基金和各类股权投资、创业投资、风险投资机构等参与企业股份制改造、上市、并购重组等，发挥其战略投资、项目开发等优势，提高企业对接资本市场的能力。

　　（四）给予上市补贴政策。

　　按照《广州市人民政府关于印发支持广州区域金融中心建设若干规定的通知》（穗府规〔2019〕1号），对在境内外证券市场新上市的企业及从外地迁入的上市公司，在市级层面给予300万元的一次性补贴。

　　（五）营造市场环境。

　　市直有关部门、各区人民政府要把推动企业上市发展作为事关全市经济发展全局的一项重要工作来抓，通过多种形式加强宣传发动，在全市范围内积极营造支持企业上市发展的良好氛围。

　　市地方金融监管局通过多种形式搭建企业与境内外证券交易所、证券公司、会计师事务所、律师事务所等中介机构以及金融监管部门的沟通、交流、互动机制。支持上海证券交易所南方中心、深圳证券交易所广州基地发挥作用，举办专题培训，实地走访拟上市企业，进行一对一指导。定期举办企业上市工作交流会，及时宣传企业上市的新政策、新动态、新做法，总结企业上市工作经验，宣传上市公司利用资本市场实现高质量发展的成功案例。引导中介机构等市场主体机构规范经营，做好企业上市过程中的各项服务工作。
",,,,,,
